Index,atemp,casual,casuallag1,casuallag24,count,countlag1,countlag24,date,datetime,day,holiday,hour,humidity,month,registered,registeredlag1,registeredlag24,season,temp,weather,weekday,windspeed,wknum,workingday,year
40544_0,14.395,3,,,16,,,1/1/2011,1/1/2011 0:00,1,0,0,81,1,13,,,1,9.84,1,6,0,1,0,2011
40544_1,13.635,8,3,,40,16,,1/1/2011,1/1/2011 1:00,1,0,1,80,1,32,13,,1,9.02,1,6,0,1,0,2011
40544_2,13.635,5,8,,32,40,,1/1/2011,1/1/2011 2:00,1,0,2,80,1,27,32,,1,9.02,1,6,0,1,0,2011
40544_3,14.395,3,5,,13,32,,1/1/2011,1/1/2011 3:00,1,0,3,75,1,10,27,,1,9.84,1,6,0,1,0,2011
40544_4,14.395,0,3,,1,13,,1/1/2011,1/1/2011 4:00,1,0,4,75,1,1,10,,1,9.84,1,6,0,1,0,2011
40544_5,12.88,0,0,,1,1,,1/1/2011,1/1/2011 5:00,1,0,5,75,1,1,1,,1,9.84,2,6,6.0032,1,0,2011
40544_6,13.635,2,0,,2,1,,1/1/2011,1/1/2011 6:00,1,0,6,80,1,0,1,,1,9.02,1,6,0,1,0,2011
40544_7,12.88,1,2,,3,2,,1/1/2011,1/1/2011 7:00,1,0,7,86,1,2,0,,1,8.2,1,6,0,1,0,2011
40544_8,14.395,1,1,,8,3,,1/1/2011,1/1/2011 8:00,1,0,8,75,1,7,2,,1,9.84,1,6,0,1,0,2011
40544_9,17.425,8,1,,14,8,,1/1/2011,1/1/2011 9:00,1,0,9,76,1,6,7,,1,13.12,1,6,0,1,0,2011
40544_10,19.695,12,8,,36,14,,1/1/2011,1/1/2011 10:00,1,0,10,76,1,24,6,,1,15.58,1,6,16.9979,1,0,2011
40544_11,16.665,26,12,,56,36,,1/1/2011,1/1/2011 11:00,1,0,11,81,1,30,24,,1,14.76,1,6,19.0012,1,0,2011
40544_12,21.21,29,26,,84,56,,1/1/2011,1/1/2011 12:00,1,0,12,77,1,55,30,,1,17.22,1,6,19.0012,1,0,2011
40544_13,22.725,47,29,,94,84,,1/1/2011,1/1/2011 13:00,1,0,13,72,1,47,55,,1,18.86,2,6,19.9995,1,0,2011
40544_14,22.725,35,47,,106,94,,1/1/2011,1/1/2011 14:00,1,0,14,72,1,71,47,,1,18.86,2,6,19.0012,1,0,2011
40544_15,21.97,40,35,,110,106,,1/1/2011,1/1/2011 15:00,1,0,15,77,1,70,71,,1,18.04,2,6,19.9995,1,0,2011
40544_16,21.21,41,40,,93,110,,1/1/2011,1/1/2011 16:00,1,0,16,82,1,52,70,,1,17.22,2,6,19.9995,1,0,2011
40544_17,21.97,15,41,,67,93,,1/1/2011,1/1/2011 17:00,1,0,17,82,1,52,52,,1,18.04,2,6,19.0012,1,0,2011
40544_18,21.21,9,15,,35,67,,1/1/2011,1/1/2011 18:00,1,0,18,88,1,26,52,,1,17.22,3,6,16.9979,1,0,2011
40544_19,21.21,6,9,,37,35,,1/1/2011,1/1/2011 19:00,1,0,19,88,1,31,26,,1,17.22,3,6,16.9979,1,0,2011
40544_20,20.455,11,6,,36,37,,1/1/2011,1/1/2011 20:00,1,0,20,87,1,25,31,,1,16.4,2,6,16.9979,1,0,2011
40544_21,20.455,3,11,,34,36,,1/1/2011,1/1/2011 21:00,1,0,21,87,1,31,25,,1,16.4,2,6,12.998,1,0,2011
40544_22,20.455,11,3,,28,34,,1/1/2011,1/1/2011 22:00,1,0,22,94,1,17,31,,1,16.4,2,6,15.0013,1,0,2011
40544_23,22.725,15,11,,39,28,,1/1/2011,1/1/2011 23:00,1,0,23,88,1,24,17,,1,18.86,2,6,19.9995,1,0,2011
40545_0,22.725,4,,,17,,,1/2/2011,1/2/2011 0:00,2,0,0,88,1,13,,,1,18.86,2,7,19.9995,2,0,2011
40545_1,21.97,1,4,,17,17,,1/2/2011,1/2/2011 1:00,2,0,1,94,1,16,13,,1,18.04,2,7,16.9979,2,0,2011
40545_2,21.21,1,1,,9,17,,1/2/2011,1/2/2011 2:00,2,0,2,100,1,8,16,,1,17.22,2,7,19.0012,2,0,2011
40545_3,22.725,2,1,,6,9,,1/2/2011,1/2/2011 3:00,2,0,3,94,1,4,8,,1,18.86,2,7,12.998,2,0,2011
40545_4,22.725,2,2,,3,6,,1/2/2011,1/2/2011 4:00,2,0,4,94,1,1,4,,1,18.86,2,7,12.998,2,0,2011
40545_5,,,2,,,3,,1/2/2011,,2,,5,,1,,1,,,,,7,,2,,2011
40545_6,21.21,0,,,2,,,1/2/2011,1/2/2011 6:00,2,0,6,77,1,2,,,1,17.22,3,7,19.9995,2,0,2011
40545_7,20.455,0,0,,1,2,,1/2/2011,1/2/2011 7:00,2,0,7,76,1,1,2,,1,16.4,2,7,12.998,2,0,2011
40545_8,20.455,0,0,,8,1,,1/2/2011,1/2/2011 8:00,2,0,8,71,1,8,1,,1,16.4,3,7,15.0013,2,0,2011
40545_9,19.695,1,0,,20,8,,1/2/2011,1/2/2011 9:00,2,0,9,76,1,19,8,,1,15.58,2,7,15.0013,2,0,2011
40545_10,17.425,7,1,,53,20,,1/2/2011,1/2/2011 10:00,2,0,10,81,1,46,19,,1,14.76,2,7,15.0013,2,0,2011
40545_11,16.665,16,7,,70,53,,1/2/2011,1/2/2011 11:00,2,0,11,71,1,54,46,,1,14.76,2,7,16.9979,2,0,2011
40545_12,16.665,20,16,,93,70,,1/2/2011,1/2/2011 12:00,2,0,12,66,1,73,54,,1,14.76,2,7,19.9995,2,0,2011
40545_13,17.425,11,20,,75,93,,1/2/2011,1/2/2011 13:00,2,0,13,66,1,64,73,,1,14.76,2,7,8.9981,2,0,2011
40545_14,17.425,4,11,,59,75,,1/2/2011,1/2/2011 14:00,2,0,14,76,1,55,64,,1,14.76,3,7,12.998,2,0,2011
40545_15,16.665,19,4,,74,59,,1/2/2011,1/2/2011 15:00,2,0,15,81,1,55,55,,1,13.94,3,7,11.0014,2,0,2011
40545_16,16.665,9,19,,76,74,,1/2/2011,1/2/2011 16:00,2,0,16,71,1,67,55,,1,13.94,3,7,11.0014,2,0,2011
40545_17,16.665,7,9,,65,76,,1/2/2011,1/2/2011 17:00,2,0,17,57,1,58,67,,1,13.94,1,7,12.998,2,0,2011
40545_18,16.665,10,7,,53,65,,1/2/2011,1/2/2011 18:00,2,0,18,46,1,43,58,,1,14.76,2,7,22.0028,2,0,2011
40545_19,14.395,1,10,,30,53,,1/2/2011,1/2/2011 19:00,2,0,19,42,1,29,43,,1,13.12,1,7,30.0026,2,0,2011
40545_20,13.635,5,1,,22,30,,1/2/2011,1/2/2011 20:00,2,0,20,39,1,17,29,,1,12.3,1,7,23.9994,2,0,2011
40545_21,11.365,11,5,,31,22,,1/2/2011,1/2/2011 21:00,2,0,21,44,1,20,17,,1,10.66,1,7,22.0028,2,0,2011
40545_22,10.605,0,11,,9,31,,1/2/2011,1/2/2011 22:00,2,0,22,44,1,9,20,,1,9.84,1,7,19.9995,2,0,2011
40545_23,11.365,0,0,,8,9,,1/2/2011,1/2/2011 23:00,2,0,23,47,1,8,9,,1,9.02,1,7,11.0014,2,0,2011
40546_0,9.85,0,,,5,,,1/3/2011,1/3/2011 0:00,3,0,0,44,1,5,,,1,9.02,1,1,23.9994,2,1,2011
40546_1,8.335,0,0,,2,5,,1/3/2011,1/3/2011 1:00,3,0,1,44,1,2,5,,1,8.2,1,1,27.9993,2,1,2011
40546_2,,,0,,,2,,1/3/2011,,3,,2,,1,,2,,,,,1,,2,,2011
40546_3,,,,,,,,1/3/2011,,3,,3,,1,,,,,,,1,,2,,2011
40546_4,6.82,0,,,1,,,1/3/2011,1/3/2011 4:00,3,0,4,47,1,1,,,1,6.56,1,1,26.0027,2,1,2011
40546_5,6.82,0,0,,3,1,,1/3/2011,1/3/2011 5:00,3,0,5,47,1,3,1,,1,6.56,1,1,19.0012,2,1,2011
40546_6,5.305,0,0,,30,3,,1/3/2011,1/3/2011 6:00,3,0,6,50,1,30,3,,1,5.74,1,1,26.0027,2,1,2011
40546_7,6.82,1,0,,64,30,,1/3/2011,1/3/2011 7:00,3,0,7,50,1,63,30,,1,5.74,1,1,12.998,2,1,2011
40546_8,6.06,1,1,,154,64,,1/3/2011,1/3/2011 8:00,3,0,8,50,1,153,63,,1,5.74,1,1,19.0012,2,1,2011
40546_9,6.82,7,1,,88,154,,1/3/2011,1/3/2011 9:00,3,0,9,43,1,81,153,,1,6.56,1,1,26.0027,2,1,2011
40546_10,8.335,11,7,,44,88,,1/3/2011,1/3/2011 10:00,3,0,10,43,1,33,81,,1,7.38,1,1,16.9979,2,1,2011
40546_11,9.09,10,11,,51,44,,1/3/2011,1/3/2011 11:00,3,0,11,40,1,41,33,,1,8.2,1,1,22.0028,2,1,2011
40546_12,10.605,13,10,,61,51,,1/3/2011,1/3/2011 12:00,3,0,12,35,1,48,41,,1,9.02,1,1,19.9995,2,1,2011
40546_13,10.605,8,13,,61,61,,1/3/2011,1/3/2011 13:00,3,0,13,35,1,53,48,,1,9.84,1,1,19.0012,2,1,2011
40546_14,12.12,11,8,,77,61,,1/3/2011,1/3/2011 14:00,3,0,14,30,1,66,53,,1,10.66,1,1,19.0012,2,1,2011
40546_15,12.12,14,11,,72,77,,1/3/2011,1/3/2011 15:00,3,0,15,30,1,58,66,,1,10.66,1,1,16.9979,2,1,2011
40546_16,12.12,9,14,,76,72,,1/3/2011,1/3/2011 16:00,3,0,16,30,1,67,58,,1,10.66,1,1,16.9979,2,1,2011
40546_17,11.365,11,9,,157,76,,1/3/2011,1/3/2011 17:00,3,0,17,30,1,146,67,,1,9.84,1,1,15.0013,2,1,2011
40546_18,12.88,9,11,,157,157,,1/3/2011,1/3/2011 18:00,3,0,18,32,1,148,146,,1,9.84,1,1,7.0015,2,1,2011
40546_19,12.88,8,9,,110,157,,1/3/2011,1/3/2011 19:00,3,0,19,47,1,102,148,,1,8.2,1,1,0,2,1,2011
40546_20,11.365,3,8,,52,110,,1/3/2011,1/3/2011 20:00,3,0,20,47,1,49,102,,1,8.2,1,1,7.0015,2,1,2011
40546_21,9.85,3,3,,52,52,,1/3/2011,1/3/2011 21:00,3,0,21,64,1,49,49,,1,7.38,1,1,8.9981,2,1,2011
40546_22,7.575,0,3,,20,52,,1/3/2011,1/3/2011 22:00,3,0,22,69,1,20,49,,1,5.74,1,1,8.9981,2,1,2011
40546_23,10.605,1,0,,12,20,,1/3/2011,1/3/2011 23:00,3,0,23,55,1,11,20,,1,7.38,1,1,7.0015,2,1,2011
40547_0,9.09,0,,,5,,,1/4/2011,1/4/2011 0:00,4,0,0,55,1,5,,,1,6.56,1,2,7.0015,2,1,2011
40547_1,9.09,0,0,,2,5,,1/4/2011,1/4/2011 1:00,4,0,1,59,1,2,5,,1,6.56,1,2,7.0015,2,1,2011
40547_2,7.575,0,0,,1,2,,1/4/2011,1/4/2011 2:00,4,0,2,63,1,1,2,,1,5.74,1,2,8.9981,2,1,2011
40547_3,,,0,,,1,,1/4/2011,,4,,3,,1,,1,,,,,2,,2,,2011
40547_4,9.09,0,,,2,,,1/4/2011,1/4/2011 4:00,4,0,4,63,1,2,,,1,5.74,1,2,6.0032,2,1,2011
40547_5,7.575,0,0,,4,2,,1/4/2011,1/4/2011 5:00,4,0,5,68,1,4,2,,1,4.92,1,2,7.0015,2,1,2011
40547_6,7.575,0,0,,36,4,,1/4/2011,1/4/2011 6:00,4,0,6,74,1,36,4,,1,4.92,1,2,7.0015,2,1,2011
40547_7,7.575,2,0,,94,36,,1/4/2011,1/4/2011 7:00,4,0,7,74,1,92,36,,1,4.92,1,2,8.9981,2,1,2011
40547_8,7.575,2,2,,179,94,,1/4/2011,1/4/2011 8:00,4,0,8,69,1,177,92,,1,5.74,1,2,11.0014,2,1,2011
40547_9,7.575,2,2,,100,179,,1/4/2011,1/4/2011 9:00,4,0,9,64,1,98,177,,1,6.56,1,2,15.0013,2,1,2011
40547_10,6.82,5,2,,42,100,,1/4/2011,1/4/2011 10:00,4,0,10,69,1,37,98,,1,6.56,2,2,22.0028,2,1,2011
40547_11,10.605,7,5,,57,42,,1/4/2011,1/4/2011 11:00,4,0,11,51,1,50,37,,1,9.02,1,2,19.9995,2,1,2011
40547_12,11.365,12,7,,78,57,,1/4/2011,1/4/2011 12:00,4,0,12,51,1,66,50,,1,9.02,1,2,11.0014,2,1,2011
40547_13,11.365,18,12,,97,78,,1/4/2011,1/4/2011 13:00,4,0,13,56,1,79,66,,1,9.84,1,2,12.998,2,1,2011
40547_14,12.88,9,18,,63,97,,1/4/2011,1/4/2011 14:00,4,0,14,52,1,54,79,,1,10.66,1,2,15.0013,2,1,2011
40547_15,13.635,17,9,,65,63,,1/4/2011,1/4/2011 15:00,4,0,15,52,1,48,54,,1,11.48,1,2,16.9979,2,1,2011
40547_16,14.395,15,17,,83,65,,1/4/2011,1/4/2011 16:00,4,0,16,49,1,68,48,,1,12.3,1,2,16.9979,2,1,2011
40547_17,13.635,10,15,,212,83,,1/4/2011,1/4/2011 17:00,4,0,17,48,1,202,68,,1,11.48,1,2,15.0013,2,1,2011
40547_18,12.88,3,10,,182,212,,1/4/2011,1/4/2011 18:00,4,0,18,48,1,179,202,,1,10.66,1,2,12.998,2,1,2011
40547_19,12.88,2,3,,112,182,,1/4/2011,1/4/2011 19:00,4,0,19,48,1,110,179,,1,9.84,1,2,7.0015,2,1,2011
40547_20,12.88,1,2,,54,112,,1/4/2011,1/4/2011 20:00,4,0,20,48,1,53,110,,1,9.84,1,2,7.0015,2,1,2011
40547_21,13.635,0,1,,48,54,,1/4/2011,1/4/2011 21:00,4,0,21,64,1,48,53,,1,9.02,1,2,0,2,1,2011
40547_22,12.88,1,0,,35,48,,1/4/2011,1/4/2011 22:00,4,0,22,64,1,34,48,,1,9.02,1,2,6.0032,2,1,2011
40547_23,11.365,2,1,,11,35,,1/4/2011,1/4/2011 23:00,4,0,23,69,1,9,34,,1,8.2,1,2,6.0032,2,1,2011
40548_0,12.88,0,,,6,,,1/5/2011,1/5/2011 0:00,5,0,0,64,1,6,,,1,8.2,1,3,0,2,1,2011
40548_1,9.85,0,0,,6,6,,1/5/2011,1/5/2011 1:00,5,0,1,74,1,6,6,,1,6.56,1,3,6.0032,2,1,2011
40548_2,9.85,0,0,,2,6,,1/5/2011,1/5/2011 2:00,5,0,2,74,1,2,6,,1,6.56,1,3,6.0032,2,1,2011
40548_3,,,0,,,2,,1/5/2011,,5,,3,,1,,2,,,,,3,,2,,2011
40548_4,11.365,0,,,2,,,1/5/2011,1/5/2011 4:00,5,0,4,48,1,2,,,1,9.84,1,3,15.0013,2,1,2011
40548_5,11.365,0,0,,3,2,,1/5/2011,1/5/2011 5:00,5,0,5,47,1,3,2,,1,9.02,1,3,11.0014,2,1,2011
40548_6,9.85,0,0,,33,3,,1/5/2011,1/5/2011 6:00,5,0,6,47,1,33,3,,1,8.2,1,3,15.0013,2,1,2011
40548_7,9.09,1,0,,88,33,,1/5/2011,1/5/2011 7:00,5,0,7,43,1,87,33,,1,7.38,1,3,12.998,2,1,2011
40548_8,9.09,3,1,,195,88,,1/5/2011,1/5/2011 8:00,5,0,8,40,1,192,87,,1,8.2,1,3,19.9995,2,1,2011
